date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:31	14/14	---M--	200	added ('OK')	text/plain	etag:174ABE9	http://first7.com.br/robots.txt		(from )
10:50:31	20953/20953	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:27%20GMT	http://first7.com.br/	C:/First7_Site/first7/first7.com.br/index.html	(from )
10:50:31	4286/4286	---M--	200	added ('OK')		etag:%22b8ffd87a313db75f7b4d2b5b0aaf595b%22	https://yata.ostr.locaweb.com.br/473b8f2aaa515dfd884190efff455d0bf861cf911336a0cd9bffc016819bb7d5	C:/First7_Site/first7/yata.ostr.locaweb.com.br/473b8f2aaa515dfd884190efff455d0bf861cf911336a0cd9bffc016819bb7d5	(from http://first7.com.br/)
10:50:32	2107/2107	---MC-	200	added ('OK')	text/css	date:Fri,%2025%20May%202018%2013:50:29%20GMT	http://fonts.googleapis.com/css?family=Open%20Sans:400,600,700|Nunito:400,400italic,700|Noto%20Sans:400,400italic,700|Nunito:400,400italic,700	C:/First7_Site/first7/fonts.googleapis.com/css45a0.css	(from http://first7.com.br/)
10:50:32	73849/73849	---M--	200	added ('OK')	text/css	date:Fri,%2025%20May%202018%2013:50:28%20GMT	http://first7.com.br/assets/criadordesites.css?ba39cff0-d458-49e1-9ba0-0a4dd519cd04	C:/First7_Site/first7/first7.com.br/assets/criadordesites325e.css	(from http://first7.com.br/)
10:50:34	20953/20953	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:29%20GMT	http://first7.com.br/home	C:/First7_Site/first7/first7.com.br/home.html	(from http://first7.com.br/)
10:50:34	54312/54312	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%221539c639f17d30112cf50b0af0755e17%22	https://yata.ostr.locaweb.com.br/44aed1269471f5a1a96e27d85a1b04fd63e6630b16274fb6544c5698d55014f4	C:/First7_Site/first7/yata.ostr.locaweb.com.br/44aed1269471f5a1a96e27d85a1b04fd63e6630b16274fb6544c5698d55014f4	(from http://first7.com.br/)
10:50:43	15820/15820	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:39%20GMT	http://first7.com.br/empresa	C:/First7_Site/first7/first7.com.br/empresa.html	(from http://first7.com.br/)
10:50:43	20709/20709	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:40%20GMT	http://first7.com.br/solucoes	C:/First7_Site/first7/first7.com.br/solucoes.html	(from http://first7.com.br/)
10:50:44	27258/27258	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:40%20GMT	http://first7.com.br/venda	C:/First7_Site/first7/first7.com.br/venda.html	(from http://first7.com.br/)
10:50:44	17672/17672	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:40%20GMT	http://first7.com.br/consultoria	C:/First7_Site/first7/first7.com.br/consultoria.html	(from http://first7.com.br/)
10:50:45	30924/30924	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:41%20GMT	http://first7.com.br/infraestrutura	C:/First7_Site/first7/first7.com.br/infraestrutura.html	(from http://first7.com.br/)
10:50:46	18624/18624	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:41%20GMT	http://first7.com.br/cftv	C:/First7_Site/first7/first7.com.br/cftv.html	(from http://first7.com.br/)
10:50:47	16621/16621	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:43%20GMT	http://first7.com.br/planos	C:/First7_Site/first7/first7.com.br/planos.html	(from http://first7.com.br/)
